,zz500
2014-01-03 10:13:00,126.0
2014-01-03 10:14:00,125.0
2014-01-03 10:15:00,125.0
2014-01-03 10:16:00,125.0
2014-01-03 10:17:00,125.0
2014-01-03 10:18:00,125.0
2014-01-03 10:19:00,125.0
2014-01-03 10:20:00,-1.0
2014-01-03 10:21:00,-1.0
2014-01-03 10:22:00,-127.0
2014-01-03 10:23:00,-127.0
2014-01-03 10:24:00,-3.0
2014-01-03 10:25:00,-3.0
2014-01-03 10:26:00,125.0
2014-01-03 10:27:00,125.0
2014-01-03 10:28:00,125.0
2014-01-03 10:29:00,125.0
2014-01-03 10:30:00,0.0
2014-01-03 10:31:00,0.0
2014-01-03 10:32:00,-126.0
2014-01-03 10:33:00,-126.0
2014-01-03 10:34:00,-126.0
2014-01-03 10:35:00,-126.0
2014-01-03 10:36:00,-126.0
2014-01-03 10:37:00,-126.0
2014-01-03 10:38:00,-126.0
2014-01-03 10:39:00,-126.0
2014-01-03 10:40:00,-126.0
2014-01-03 10:41:00,-126.0
2014-01-03 10:42:00,-2.0
2014-01-03 10:43:00,-2.0
2014-01-03 10:44:00,125.0
2014-01-03 10:45:00,125.0
2014-01-03 10:46:00,125.0
2014-01-03 10:47:00,125.0
2014-01-03 10:48:00,125.0
2014-01-03 10:49:00,125.0
2014-01-03 10:50:00,125.0
2014-01-03 10:51:00,125.0
2014-01-03 10:52:00,125.0
2014-01-03 10:53:00,125.0
2014-01-03 10:54:00,125.0
2014-01-03 10:55:00,125.0
2014-01-03 10:56:00,125.0
2014-01-03 10:57:00,125.0
2014-01-03 10:58:00,125.0
2014-01-03 10:59:00,125.0
2014-01-03 11:00:00,125.0
2014-01-03 11:01:00,125.0
2014-01-03 11:02:00,125.0
2014-01-03 11:03:00,125.0
2014-01-03 11:04:00,0.0
2014-01-03 11:05:00,0.0
2014-01-03 11:06:00,-126.0
2014-01-03 11:07:00,-126.0
2014-01-03 11:08:00,-126.0
2014-01-03 11:09:00,-126.0
2014-01-03 11:10:00,-125.0
2014-01-03 11:11:00,-125.0
2014-01-03 11:12:00,-125.0
2014-01-03 11:13:00,-125.0
2014-01-03 11:14:00,-125.0
