,zz500
2014-01-02 14:51:00,3844.56
2014-01-02 14:52:00,3844.23
2014-01-02 14:53:00,3844.24
2014-01-02 14:54:00,3844.88
2014-01-02 14:55:00,3845.09
2014-01-02 14:56:00,3845.29
2014-01-02 14:57:00,3845.72
2014-01-02 14:58:00,3846.62
2014-01-02 14:59:00,3847.34
2014-01-02 15:00:00,3847.88
2014-01-03 09:31:00,3835.22
2014-01-03 09:32:00,3834.23
2014-01-03 09:33:00,3835.21
2014-01-03 09:34:00,3834.73
2014-01-03 09:35:00,3836.11
2014-01-03 09:36:00,3837.68
2014-01-03 09:37:00,3840.72
2014-01-03 09:38:00,3843.12
2014-01-03 09:39:00,3843.09
2014-01-03 09:40:00,3842.15
2014-01-03 09:41:00,3841.1
2014-01-03 09:42:00,3838.52
2014-01-03 09:43:00,3835.78
2014-01-03 09:44:00,3834.42
2014-01-03 09:45:00,3833.53
2014-01-03 09:46:00,3833.84
2014-01-03 09:47:00,3834.92
2014-01-03 09:48:00,3836.29
2014-01-03 09:49:00,3838.37
2014-01-03 09:50:00,3839.8
2014-01-03 09:51:00,3840.76
2014-01-03 09:52:00,3840.91
2014-01-03 09:53:00,3840.99
2014-01-03 09:54:00,3841.38
2014-01-03 09:55:00,3841.96
2014-01-03 09:56:00,3842.41
2014-01-03 09:57:00,3842.24
2014-01-03 09:58:00,3842.62
2014-01-03 09:59:00,3842.72
2014-01-03 10:00:00,3842.21
2014-01-03 10:01:00,3840.01
2014-01-03 10:02:00,3834.44
2014-01-03 10:03:00,3830.62
2014-01-03 10:04:00,3828.1
2014-01-03 10:05:00,3826.38
2014-01-03 10:06:00,3824.92
2014-01-03 10:07:00,3825.68
2014-01-03 10:08:00,3825.79
2014-01-03 10:09:00,3826.43
2014-01-03 10:10:00,3825.82
2014-01-03 10:11:00,3823.11
2014-01-03 10:12:00,3820.89
2014-01-03 10:13:00,3819.56
2014-01-03 10:14:00,3819.37
2014-01-03 10:15:00,3819.72
2014-01-03 10:16:00,3820.59
2014-01-03 10:17:00,3821.37
2014-01-03 10:18:00,3821.89
2014-01-03 10:19:00,3822.29
2014-01-03 10:20:00,3820.44
2014-01-03 10:21:00,3817.4
