,nav,order num,trade_cost,trade_volume,cash,ret,cum_ret,draw_down,turnover
2014-01-02 10:12:00,99619794.31200002,1.0,98477.052,49337003.052,98541012.31200002,-0.0003874990113283733,-0.003809303071044209,-0.0038020568799997934,0.49525301063643085
2014-01-02 10:13:00,99620146.31200002,0.0,0.0,0.0,98541012.31200002,3.5334280756837053e-06,-0.0038057696429685253,-0.0037985368799997588,0.0
2014-01-02 10:14:00,99519454.99200001,1.0,100717.32,50459377.32000001,49923804.99200001,-0.0010112637358084377,-0.004817033378776963,-0.0048054500799998845,0.5070302819087609
2014-01-02 10:15:00,99537524.99200001,0.0,0.0,0.0,49923804.99200001,0.00018155605546796215,-0.004635477323309001,-0.004624750079999851,0.0
2014-01-02 10:16:00,99534404.99200001,1.0,0.0,0.0,49923804.99200001,-3.134545388196917e-05,-0.00466682277719097,-0.00465595007999986,0.0
2014-01-02 10:17:00,99535704.99200001,0.0,0.0,0.0,49923804.99200001,1.3060725189937354e-05,-0.0046537620520010325,-0.004642950079999819,0.0
2014-01-02 10:18:00,99545324.99200001,1.0,0.0,0.0,49923804.99200001,9.664406506506505e-05,-0.004557117986935967,-0.004546750079999828,0.0
2014-01-02 10:19:00,99565344.99200001,0.0,0.0,0.0,49923804.99200001,0.00020109419619827697,-0.00435602379073769,-0.004346550079999845,0.0
2014-01-02 10:20:00,99583674.99200001,1.0,0.0,0.0,49923804.99200001,0.00018408325637998376,-0.004171940534357706,-0.004163250079999847,0.0
2014-01-02 10:21:00,99606034.99200001,0.0,0.0,0.0,49923804.99200001,0.0002245095903368965,-0.0039474309440208095,-0.003939650079999857,0.0
2014-01-02 10:22:00,99518866.09200001,1.0,99388.9,49793838.900000006,99518866.09200001,-0.0008755198882073003,-0.00482295083222811,-0.004811339079999977,0.5003457219254106
2014-01-02 10:23:00,99518866.09200001,0.0,0.0,0.0,99518866.09200001,0.0,-0.00482295083222811,-0.004811339079999977,0.0
2014-01-02 10:24:00,99418694.584,1.0,100171.508,50185925.508,49332940.58400001,-0.001007064891372006,-0.005830015723600116,-0.005813054159999886,0.5047936478948366
2014-01-02 10:25:00,99420004.58400002,0.0,0.0,0.0,49332940.58400001,1.3176509457290018e-05,-0.005816839214142826,-0.005799954159999787,0.0
2014-01-02 10:26:00,99421183.584,1.0,0.0,0.0,49332940.58400001,1.185871006778742e-05,-0.005804980504075038,-0.005788164159999942,0.0
2014-01-02 10:27:00,99414633.584,0.0,0.0,0.0,49332940.58400001,-6.588350223477272e-05,-0.005870864006309811,-0.005853664159999883,0.0
2014-01-02 10:28:00,99406008.734,1.0,764.85,383189.85,49714600.734000005,-8.676010604193497e-05,-0.005957624112351746,-0.005939912660000046,0.0038547956494800594
2014-01-02 10:29:00,99395218.734,0.0,0.0,0.0,49714600.734000005,-0.00010855063772013386,-0.006066174750071879,-0.006047812659999985,0.0
